样品类型,编号,测量天数,剩磁(mT),温度(℃),相对湿度(%)
小号铁夹,8,14,0.9507,10.5,75
小号铁夹,8,15,0.8937,11.5,80
小号铁夹,8,22,0.4768,8.0,70
小号铁夹,8,30,0.2489,10.0,85
小号铁夹,8,37,0.1543,14.0,85
小号铁夹,8,44,0.0902,11.0,70
小号铁夹,8,51,0.0522,13.0,80
小号铁夹,8,58,0.0218,18.0,80
小号铁夹,8,90,0.001,20.0,80
小号铁夹,9,0,2.7456,9.0,90
小号铁夹,9,1,2.4314,9.0,90
小号铁夹,9,2,2.1649,7.5,85
小号铁夹,9,3,1.9276,7.5,85
小号铁夹,9,4,1.8186,7.5,75
小号铁夹,9,5,1.7112,8.5,80
小号铁夹,9,6,1.6134,9.5,75
小号铁夹,9,7,1.5217,8.5,75
小号铁夹,9,8,1.4383,9.0,70
小号铁夹,9,9,1.3527,10.0,80
小号铁夹,9,10,1.2696,9.0,85
小号铁夹,9,11,1.1898,7.0,90
小号铁夹,9,12,1.1171,8.0,85
小号铁夹,9,13,1.0577,11.0,65
小号铁夹,9,14,0.997,10.5,75
小号铁夹,9,15,0.9372,11.5,80
小号铁夹,9,22,0.5,8.0,70
小号铁夹,9,30,0.261,10.0,85
小号铁夹,9,37,0.1618,14.0,85
小号铁夹,9,44,0.0946,11.0,70
小号铁夹,9,51,0.0548,13.0,80
小号铁夹,9,58,0.0228,18.0,80
小号铁夹,9,90,0.0011,20.0,80
小号铁夹,10,0,1.8557,9.0,90
小号铁夹,10,1,1.6433,9.0,90
小号铁夹,10,2,1.4632,7.5,85
小号铁夹,10,3,1.3028,7.5,85
小号铁夹,10,4,1.2291,7.5,75
小号铁夹,10,5,1.1566,8.5,80
小号铁夹,10,6,1.0905,9.5,75
小号铁夹,10,7,1.0285,8.5,75
小号铁夹,10,8,0.9721,9.0,70
小号铁夹,10,9,0.9142,10.0,80
小号铁夹,10,10,0.8581,9.0,85
小号铁夹,10,11,0.8041,7.0,90
小号铁夹,10,12,0.755,8.0,85
小号铁夹,10,13,0.7149,11.0,65
小号铁夹,10,14,0.6738,10.5,75
小号铁夹,10,15,0.6334,11.5,80
小号铁夹,10,22,0.3379,8.0,70
小号铁夹,10,30,0.1764,10.0,85
小号铁夹,10,37,0.1093,14.0,85
小号铁夹,10,44,0.0639,11.0,70
小号铁夹,10,51,0.037,13.0,80
小号铁夹,10,58,0.0154,18.0,80
小号铁夹,10,90,0.0007,20.0,80
小号铁夹,11,0,2.7703,9.0,90
小号铁夹,11,1,2.4533,9.0,90
小号铁夹,11,2,2.1843,7.5,85
小号铁夹,11,3,1.9449,7.5,85
小号铁夹,11,4,1.8349,7.5,75
小号铁夹,11,5,1.7266,8.5,80
小号铁夹,11,6,1.6279,9.5,75
小号铁夹,11,7,1.5353,8.5,75
小号铁夹,11,8,1.4512,9.0,70
小号铁夹,11,9,1.3648,10.0,80
小号铁夹,11,10,1.2811,9.0,85
小号铁夹,11,11,1.2005,7.0,90
小号铁夹,11,12,1.1272,8.0,85
小号铁夹,11,13,1.0672,11.0,65
小号铁夹,11,14,1.0059,10.5,75
小号铁夹,11,15,0.9456,11.5,80
小号铁夹,11,22,0.5045,8.0,70
小号铁夹,11,30,0.2634,10.0,85
小号铁夹,11,37,0.1632,14.0,85
小号铁夹,11,44,0.0954,11.0,70
小号铁夹,11,51,0.0553,13.0,80
小号铁夹,11,58,0.023,18.0,80
小号铁夹,11,90,0.0011,20.0,80
小号铁夹,12,0,2.058,9.0,90
小号铁夹,12,1,1.8224,9.0,90
小号铁夹,12,2,1.6227,7.5,85
小号铁夹,12,3,1.4448,7.5,85
小号铁夹,12,4,1.3631,7.5,75
小号铁夹,12,5,1.2826,8.5,80
小号铁夹,12,6,1.2093,9.5,75
小号铁夹,12,7,1.1406,8.5,75
小号铁夹,12,8,1.078,9.0,70
小号铁夹,12,9,1.0139,10.0,80
小号铁夹,12,10,0.9516,9.0,85
小号铁夹,12,11,0.8918,7.0,90
小号铁夹,12,12,0.8373,8.0,85
小号铁夹,12,13,0.7928,11.0,65
小号铁夹,12,14,0.7473,10.5,75
小号铁夹,12,15,0.7024,11.5,80
小号铁夹,12,22,0.3748,8.0,70
小号铁夹,12,30,0.1957,10.0,85
小号铁夹,12,37,0.1213,14.0,85
小号铁夹,12,44,0.0709,11.0,70
小号铁夹,12,51,0.0411,13.0,80
小号铁夹,12,58,0.0171,18.0,80
小号铁夹,12,90,0.0008,20.0,80
小号铁夹,13,0,1.886,9.0,90
小号铁夹,13,1,1.6702,9.0,90
小号铁夹,13,2,1.4871,7.5,85
小号铁夹,13,3,1.3241,7.5,85
小号铁夹,13,4,1.2492,7.5,75
小号铁夹,13,5,1.1755,8.5,80
小号铁夹,13,6,1.1083,9.5,75
小号铁夹,13,7,1.0453,8.5,75
小号铁夹,13,8,0.988,9.0,70
小号铁夹,13,9,0.9292,10.0,80
小号铁夹,13,10,0.8721,9.0,85
小号铁夹,13,11,0.8173,7.0,90
小号铁夹,13,12,0.7674,8.0,85
小号铁夹,13,13,0.7266,11.0,65
小号铁夹,13,14,0.6848,10.5,75
小号铁夹,13,15,0.6438,11.5,80
小号铁夹,13,22,0.3435,8.0,70
小号铁夹,13,30,0.1793,10.0,85
小号铁夹,13,37,0.1111,14.0,85
小号铁夹,13,44,0.065,11.0,70
小号铁夹,13,51,0.0376,13.0,80
小号铁夹,13,58,0.0157,18.0,80
小号铁夹,13,90,0.0007,20.0,80
小号铁夹,14,0,3.3267,9.0,90
小号铁夹,14,1,2.946,9.0,90
小号铁夹,14,2,2.623,7.5,85
小号铁夹,14,3,2.3355,7.5,85
小号铁夹,14,4,2.2034,7.5,75
小号铁夹,14,5,2.0733,8.5,80
小号铁夹,14,6,1.9548,9.5,75
小号铁夹,14,7,1.8437,8.5,75
小号铁夹,14,8,1.7426,9.0,70
小号铁夹,14,9,1.6389,10.0,80
小号铁夹,14,10,1.5383,9.0,85
小号铁夹,14,11,1.4416,7.0,90
小号铁夹,14,12,1.3535,8.0,85
小号铁夹,14,13,1.2816,11.0,65
小号铁夹,14,14,1.2079,10.5,75
小号铁夹,14,15,1.1355,11.5,80
小号铁夹,14,22,0.6058,8.0,70
小号铁夹,14,30,0.3163,10.0,85
小号铁夹,14,37,0.196,14.0,85
小号铁夹,14,44,0.1146,11.0,70
小号铁夹,14,51,0.0664,13.0,80
小号铁夹,14,58,0.0277,18.0,80
小号铁夹,14,90,0.0013,20.0,80
小号铁夹,15,0,3.354,9.0,90
小号铁夹,15,1,2.9701,9.0,90
小号铁夹,15,2,2.6446,7.5,85
小号铁夹,15,3,2.3547,7.5,85
小号铁夹,15,4,2.2215,7.5,75
小号铁夹,15,5,2.0903,8.5,80
小号铁夹,15,6,1.9709,9.5,75
小号铁夹,15,7,1.8588,8.5,75
小号铁夹,15,8,1.7569,9.0,70
小号铁夹,15,9,1.6524,10.0,80
小号铁夹,15,10,1.551,9.0,85
小号铁夹,15,11,1.4534,7.0,90
小号铁夹,15,12,1.3646,8.0,85
小号铁夹,15,13,1.2921,11.0,65
小号铁夹,15,14,1.2178,10.5,75
小号铁夹,15,15,1.1448,11.5,80
小号铁夹,15,22,0.6108,8.0,70
小号铁夹,15,30,0.3189,10.0,85
小号铁夹,15,37,0.1976,14.0,85
小号铁夹,15,44,0.1155,11.0,70
小号铁夹,15,51,0.0669,13.0,80
小号铁夹,15,58,0.0279,18.0,80
小号铁夹,15,90,0.0013,20.0,80
小号铁夹,16,0,3.0977,9.0,90
小号铁夹,16,1,2.7432,9.0,90
小号铁夹,16,2,2.4425,7.5,85
小号铁夹,16,3,2.1747,7.5,85
小号铁夹,16,4,2.0517,7.5,75
小号铁夹,16,5,1.9306,8.5,80
小号铁夹,16,6,1.8203,9.5,75
小号铁夹,16,7,1.7168,8.5,75
小号铁夹,16,8,1.6227,9.0,70
小号铁夹,16,9,1.5261,10.0,80
小号铁夹,16,10,1.4324,9.0,85
小号铁夹,16,11,1.3423,7.0,90
小号铁夹,16,12,1.2604,8.0,85
小号铁夹,16,13,1.1933,11.0,65
小号铁夹,16,14,1.1248,10.5,75
小号铁夹,16,15,1.0573,11.5,80
小号铁夹,16,22,0.5641,8.0,70
小号铁夹,16,30,0.2945,10.0,85
小号铁夹,16,37,0.1825,14.0,85
小号铁夹,16,44,0.1067,11.0,70
小号铁夹,16,51,0.0618,13.0,80
小号铁夹,16,58,0.0258,18.0,80
小号铁夹,16,90,0.0012,20.0,80
小号铁夹,17,0,2.2765,9.0,90
小号铁夹,17,1,2.016,9.0,90
小号铁夹,17,2,1.795,7.5,85
小号铁夹,17,3,1.5982,7.5,85
小号铁夹,17,4,1.5078,7.5,75
小号铁夹,17,5,1.4188,8.5,80
小号铁夹,17,6,1.3377,9.5,75
小号铁夹,17,7,1.2617,8.5,75
小号铁夹,17,8,1.1925,9.0,70
小号铁夹,17,9,1.1216,10.0,80
小号铁夹,17,10,1.0527,9.0,85
小号铁夹,17,11,0.9865,7.0,90
小号铁夹,17,12,0.9263,8.0,85
小号铁夹,17,13,0.877,11.0,65
小号铁夹,17,14,0.8266,10.5,75
小号铁夹,17,15,0.777,11.5,80
小号铁夹,17,22,0.4146,8.0,70
小号铁夹,17,30,0.2164,10.0,85
小号铁夹,17,37,0.1341,14.0,85
小号铁夹,17,44,0.0784,11.0,70
小号铁夹,17,51,0.0454,13.0,80
小号铁夹,17,58,0.0189,18.0,80
小号铁夹,17,90,0.0009,20.0,80
小号铁夹,18,0,1.9392,9.0,90
小号铁夹,18,1,1.7173,9.0,90
小号铁夹,18,2,1.529,7.5,85
小号铁夹,18,3,1.3614,7.5,85
小号铁夹,18,4,1.2844,7.5,75
小号铁夹,18,5,1.2086,8.5,80
小号铁夹,18,6,1.1395,9.5,75
小号铁夹,18,7,1.0747,8.5,75
小号铁夹,18,8,1.0158,9.0,70
小号铁夹,18,9,0.9554,10.0,80
小号铁夹,18,10,0.8967,9.0,85
小号铁夹,18,11,0.8403,7.0,90
小号铁夹,18,12,0.789,8.0,85
小号铁夹,18,13,0.7471,11.0,65
小号铁夹,18,14,0.7041,10.5,75
小号铁夹,18,15,0.6619,11.5,80
小号铁夹,18,22,0.3532,8.0,70
小号铁夹,18,30,0.1844,10.0,85
小号铁夹,18,37,0.1143,14.0,85
小号铁夹,18,44,0.0668,11.0,70
小号铁夹,18,51,0.0387,13.0,80
小号铁夹,18,58,0.0161,18.0,80
小号铁夹,18,90,0.0007,20.0,80
小号铁夹,19,0,2.8953,9.0,90
小号铁夹,19,1,2.564,9.0,90
小号铁夹,19,2,2.2829,7.5,85
小号铁夹,19,3,2.0326,7.5,85
小号铁夹,19,4,1.9177,7.5,75
小号铁夹,19,5,1.8045,8.5,80
小号铁夹,19,6,1.7013,9.5,75
小号铁夹,19,7,1.6046,8.5,75
小号铁夹,19,8,1.5167,9.0,70
小号铁夹,19,9,1.4264,10.0,80
小号铁夹,19,10,1.3389,9.0,85
小号铁夹,19,11,1.2546,7.0,90
小号铁夹,19,12,1.178,8.0,85
小号铁夹,19,13,1.1154,11.0,65
小号铁夹,19,14,1.0513,10.5,75
小号铁夹,19,15,0.9882,11.5,80
小号铁夹,19,22,0.5273,8.0,70
小号铁夹,19,30,0.2753,10.0,85
小号铁夹,19,37,0.1706,14.0,85
小号铁夹,19,44,0.0997,11.0,70
小号铁夹,19,51,0.0578,13.0,80
小号铁夹,19,58,0.0241,18.0,80
小号铁夹,19,90,0.0011,20.0,80
小号铁夹,20,0,2.4974,9.0,90
小号铁夹,20,1,2.2116,9.0,90
小号铁夹,20,2,1.9692,7.5,85
小号铁夹,20,3,1.7533,7.5,85
小号铁夹,20,4,1.6542,7.5,75
小号铁夹,20,5,1.5565,8.5,80
小号铁夹,20,6,1.4676,9.5,75
小号铁夹,20,7,1.3841,8.5,75
小号铁夹,20,8,1.3083,9.0,70
小号铁夹,20,9,1.2304,10.0,80
小号铁夹,20,10,1.1549,9.0,85
小号铁夹,20,11,1.0822,7.0,90
小号铁夹,20,12,1.0161,8.0,85
小号铁夹,20,13,0.9621,11.0,65
小号铁夹,20,14,0.9068,10.5,75
小号铁夹,20,15,0.8524,11.5,80
小号铁夹,20,22,0.4548,8.0,70
小号铁夹,20,30,0.2374,10.0,85
小号铁夹,20,37,0.1472,14.0,85
小号铁夹,20,44,0.086,11.0,70
小号铁夹,20,51,0.0498,13.0,80
小号铁夹,20,58,0.0208,18.0,80
小号铁夹,20,90,0.001,20.0,80
普通钢筋,1,0,2.3708,9.0,90
普通钢筋,1,1,2.1603,9.0,90
普通钢筋,1,2,1.9766,7.5,85
普通钢筋,1,3,1.8085,7.5,85
普通钢筋,1,4,1.7291,7.5,75
普通钢筋,1,5,1.6499,8.5,80
普通钢筋,1,6,1.5768,9.5,75
普通钢筋,1,7,1.5072,8.5,75
普通钢筋,1,8,1.4431,9.0,70
普通钢筋,1,9,1.3765,10.0,80
普通钢筋,1,10,1.3109,9.0,85
普通钢筋,1,11,1.2469,7.0,90
普通钢筋,1,12,1.1879,8.0,85
普通钢筋,1,13,1.1389,11.0,65
普通钢筋,1,14,1.0881,10.5,75
普通钢筋,1,15,1.0375,11.5,80
普通钢筋,1,22,0.641,8.0,70
普通钢筋,1,30,0.3892,10.0,85
普通钢筋,1,37,0.2693,14.0,85
普通钢筋,1,44,0.1783,11.0,70
普通钢筋,1,51,0.1172,13.0,80
普通钢筋,1,58,0.0601,18.0,80
普通钢筋,1,90,0.0057,20.0,80
普通钢筋,2,0,3.841,9.0,90
普通钢筋,2,1,3.4999,9.0,90
普通钢筋,2,2,3.2023,7.5,85
普通钢筋,2,3,2.9299,7.5,85
普通钢筋,2,4,2.8014,7.5,75
普通钢筋,2,5,2.6731,8.5,80
普通钢筋,2,6,2.5545,9.5,75
普通钢筋,2,7,2.4418,8.5,75
普通钢筋,2,8,2.338,9.0,70
普通钢筋,2,9,2.2301,10.0,80
普通钢筋,2,10,2.1238,9.0,85
普通钢筋,2,11,2.0202,7.0,90
普通钢筋,2,12,1.9245,8.0,85
普通钢筋,2,13,1.8451,11.0,65
普通钢筋,2,14,1.7628,10.5,75
普通钢筋,2,15,1.6808,11.5,80
普通钢筋,2,22,1.0385,8.0,70
普通钢筋,2,30,0.6305,10.0,85
普通钢筋,2,37,0.4364,14.0,85
普通钢筋,2,44,0.2889,11.0,70
普通钢筋,2,51,0.1899,13.0,80
普通钢筋,2,58,0.0973,18.0,80
普通钢筋,2,90,0.0093,20.0,80
普通钢筋,3,0,2.0255,9.0,90
普通钢筋,3,1,1.8456,9.0,90
普通钢筋,3,2,1.6887,7.5,85
普通钢筋,3,3,1.545,7.5,85
普通钢筋,3,4,1.4773,7.5,75
普通钢筋,3,5,1.4096,8.5,80
普通钢筋,3,6,1.3471,9.5,75
普通钢筋,3,7,1.2877,8.5,75
普通钢筋,3,8,1.2329,9.0,70
普通钢筋,3,9,1.176,10.0,80
普通钢筋,3,10,1.12,9.0,85
普通钢筋,3,11,1.0653,7.0,90
普通钢筋,3,12,1.0148,8.0,85
普通钢筋,3,13,0.973,11.0,65
普通钢筋,3,14,0.9296,10.5,75
普通钢筋,3,15,0.8863,11.5,80
普通钢筋,3,22,0.5476,8.0,70
普通钢筋,3,30,0.3325,10.0,85
普通钢筋,3,37,0.2301,14.0,85
普通钢筋,3,44,0.1523,11.0,70
普通钢筋,3,51,0.1001,13.0,80
普通钢筋,3,58,0.0513,18.0,80
普通钢筋,3,90,0.0049,20.0,80
普通钢筋,4,0,5.4727,9.0,90
普通钢筋,4,1,4.9868,9.0,90
普通钢筋,4,2,4.5627,7.5,85
普通钢筋,4,3,4.1746,7.5,85
普通钢筋,4,4,3.9914,7.5,75
普通钢筋,4,5,3.8086,8.5,80
普通钢筋,4,6,3.6397,9.5,75
普通钢筋,4,7,3.4792,8.5,75
普通钢筋,4,8,3.3312,9.0,70
普通钢筋,4,9,3.1774,10.0,80
普通钢筋,4,10,3.0261,9.0,85
普通钢筋,4,11,2.8784,7.0,90
普通钢筋,4,12,2.742,8.0,85
普通钢筋,4,13,2.6289,11.0,65
普通钢筋,4,14,2.5117,10.5,75
普通钢筋,4,15,2.3948,11.5,80
普通钢筋,4,22,1.4797,8.0,70
普通钢筋,4,30,0.8983,10.0,85
普通钢筋,4,37,0.6217,14.0,85
普通钢筋,4,44,0.4116,11.0,70
普通钢筋,4,51,0.2706,13.0,80
普通钢筋,4,58,0.1387,18.0,80
普通钢筋,4,90,0.0132,20.0,80
普通钢筋,5,0,2.9096,9.0,90
普通钢筋,5,1,2.6512,9.0,90
普通钢筋,5,2,2.4258,7.5,85
普通钢筋,5,3,2.2194,7.5,85
普通钢筋,5,4,2.1221,7.5,75
普通钢筋,5,5,2.0249,8.5,80
普通钢筋,5,6,1.9351,9.5,75
普通钢筋,5,7,1.8497,8.5,75
普通钢筋,5,8,1.7711,9.0,70
普通钢筋,5,9,1.6893,10.0,80
普通钢筋,5,10,1.6088,9.0,85
普通钢筋,5,11,1.5303,7.0,90
普通钢筋,5,12,1.4578,8.0,85
普通钢筋,5,13,1.3977,11.0,65
普通钢筋,5,14,1.3354,10.5,75
普通钢筋,5,15,1.2732,11.5,80
普通钢筋,5,22,0.7867,8.0,70
普通钢筋,5,30,0.4776,10.0,85
普通钢筋,5,37,0.3305,14.0,85
普通钢筋,5,44,0.2188,11.0,70
普通钢筋,5,51,0.1439,13.0,80
普通钢筋,5,58,0.0737,18.0,80
普通钢筋,5,90,0.007,20.0,80
普通钢筋,6,0,4.5003,9.0,90
普通钢筋,6,1,4.1007,9.0,90
普通钢筋,6,2,3.752,7.5,85
普通钢筋,6,3,3.4329,7.5,85
普通钢筋,6,4,3.2823,7.5,75
普通钢筋,6,5,3.1319,8.5,80
普通钢筋,6,6,2.993,9.5,75
普通钢筋,6,7,2.861,8.5,75
普通钢筋,6,8,2.7393,9.0,70
普通钢筋,6,9,2.6129,10.0,80
普通钢筋,6,10,2.4884,9.0,85
普通钢筋,6,11,2.367,7.0,90
普通钢筋,6,12,2.2548,8.0,85
普通钢筋,6,13,2.1618,11.0,65
普通钢筋,6,14,2.0654,10.5,75
普通钢筋,6,15,1.9693,11.5,80
普通钢筋,6,22,1.2168,8.0,70
普通钢筋,6,30,0.7387,10.0,85
普通钢筋,6,37,0.5113,14.0,85
普通钢筋,6,44,0.3385,11.0,70
普通钢筋,6,51,0.2225,13.0,80
普通钢筋,6,58,0.114,18.0,80
普通钢筋,6,90,0.0108,20.0,80
普通钢筋,7,0,3.1181,9.0,90
普通钢筋,7,1,2.8413,9.0,90
普通钢筋,7,2,2.5996,7.5,85
普通钢筋,7,3,2.3785,7.5,85
普通钢筋,7,4,2.2742,7.5,75
普通钢筋,7,5,2.17,8.5,80
普通钢筋,7,6,2.0738,9.5,75
普通钢筋,7,7,1.9823,8.5,75
普通钢筋,7,8,1.898,9.0,70
普通钢筋,7,9,1.8104,10.0,80
普通钢筋,7,10,1.7241,9.0,85
普通钢筋,7,11,1.64,7.0,90
普通钢筋,7,12,1.5623,8.0,85
普通钢筋,7,13,1.4978,11.0,65
普通钢筋,7,14,1.4311,10.5,75
普通钢筋,7,15,1.3645,11.5,80
普通钢筋,7,22,0.8431,8.0,70
普通钢筋,7,30,0.5118,10.0,85
普通钢筋,7,37,0.3542,14.0,85
普通钢筋,7,44,0.2345,11.0,70
普通钢筋,7,51,0.1542,13.0,80
普通钢筋,7,58,0.079,18.0,80
普通钢筋,7,90,0.0075,20.0,80
普通钢筋,8,0,3.9391,9.0,90
普通钢筋,8,1,3.5893,9.0,90
普通钢筋,8,2,3.284,7.5,85
普通钢筋,8,3,3.0047,7.5,85
普通钢筋,8,4,2.8729,7.5,75
普通钢筋,8,5,2.7413,8.5,80
普通钢筋,8,6,2.6197,9.5,75
普通钢筋,8,7,2.5042,8.5,75
普通钢筋,8,8,2.3977,9.0,70
普通钢筋,8,9,2.287,10.0,80
普通钢筋,8,10,2.1781,9.0,85
普通钢筋,8,11,2.0718,7.0,90
普通钢筋,8,12,1.9736,8.0,85
普通钢筋,8,13,1.8922,11.0,65
普通钢筋,8,14,1.8078,10.5,75
普通钢筋,8,15,1.7237,11.5,80
普通钢筋,8,22,1.065,8.0,70
普通钢筋,8,30,0.6466,10.0,85
普通钢筋,8,37,0.4475,14.0,85
普通钢筋,8,44,0.2962,11.0,70
普通钢筋,8,51,0.1948,13.0,80
普通钢筋,8,58,0.0998,18.0,80
普通钢筋,8,90,0.0095,20.0,80
普通钢筋,9,0,4.044,9.0,90
普通钢筋,9,1,3.685,9.0,90
普通钢筋,9,2,3.3716,7.5,85
普通钢筋,9,3,3.0848,7.5,85
普通钢筋,9,4,2.9495,7.5,75
普通钢筋,9,5,2.8144,8.5,80
普通钢筋,9,6,2.6896,9.5,75
普通钢筋,9,7,2.5709,8.5,75
普通钢筋,9,8,2.4616,9.0,70
普通钢筋,9,9,2.3479,10.0,80
普通钢筋,9,10,2.2361,9.0,85
普通钢筋,9,11,2.127,7.0,90
普通钢筋,9,12,2.0262,8.0,85
普通钢筋,9,13,1.9426,11.0,65
普通钢筋,9,14,1.856,10.5,75
普通钢筋,9,15,1.7697,11.5,80
普通钢筋,9,22,1.0934,8.0,70
普通钢筋,9,30,0.6638,10.0,85
普通钢筋,9,37,0.4594,14.0,85
普通钢筋,9,44,0.3041,11.0,70
普通钢筋,9,51,0.2,13.0,80
普通钢筋,9,58,0.1025,18.0,80
普通钢筋,9,90,0.0097,20.0,80
普通钢筋,10,0,2.6183,9.0,90
普通钢筋,10,1,2.3858,9.0,90
普通钢筋,10,2,2.1829,7.5,85
普通钢筋,10,3,1.9973,7.5,85
普通钢筋,10,4,1.9096,7.5,75
普通钢筋,10,5,1.8222,8.5,80
普通钢筋,10,6,1.7414,9.5,75
普通钢筋,10,7,1.6646,8.5,75
普通钢筋,10,8,1.5938,9.0,70
普通钢筋,10,9,1.5202,10.0,80
普通钢筋,10,10,1.4478,9.0,85
普通钢筋,10,11,1.3771,7.0,90
普通钢筋,10,12,1.3119,8.0,85
普通钢筋,10,13,1.2578,11.0,65
普通钢筋,10,14,1.2017,10.5,75
普通钢筋,10,15,1.1458,11.5,80
普通钢筋,10,22,0.7079,8.0,70
普通钢筋,10,30,0.4298,10.0,85
普通钢筋,10,37,0.2975,14.0,85
普通钢筋,10,44,0.1969,11.0,70
普通钢筋,10,51,0.1295,13.0,80
普通钢筋,10,58,0.0663,18.0,80
普通钢筋,10,90,0.0063,20.0,80
锈蚀钢筋,1,0,5.5178,9.0,90
锈蚀钢筋,1,1,4.8101,9.0,90
锈蚀钢筋,1,2,4.2192,7.5,85
锈蚀钢筋,1,3,3.7009,7.5,85
锈蚀钢筋,1,4,3.4663,7.5,75
锈蚀钢筋,1,5,3.237,8.5,80
锈蚀钢筋,1,6,3.0296,9.5,75
锈蚀钢筋,1,7,2.8366,8.5,75
锈蚀钢筋,1,8,2.6624,9.0,70
锈蚀钢筋,1,9,2.4848,10.0,80
锈蚀钢筋,1,10,2.3139,9.0,85
锈蚀钢筋,1,11,2.1508,7.0,90
锈蚀钢筋,1,12,2.0036,8.0,85
锈蚀钢筋,1,13,1.8842,11.0,65
锈蚀钢筋,1,14,1.7629,10.5,75
锈蚀钢筋,1,15,1.6444,11.5,80
锈蚀钢筋,1,22,0.8094,8.0,70
锈蚀钢筋,1,30,0.389,10.0,85
锈蚀钢筋,1,37,0.227,14.0,85
锈蚀钢筋,1,44,0.124,11.0,70
锈蚀钢筋,1,51,0.067,13.0,80
锈蚀钢筋,1,58,0.0249,18.0,80
锈蚀钢筋,1,90,0.0008,20.0,80
锈蚀钢筋,2,0,4.8644,9.0,90
锈蚀钢筋,2,1,4.2406,9.0,90
锈蚀钢筋,2,2,3.7196,7.5,85
锈蚀钢筋,2,3,3.2626,7.5,85
锈蚀钢筋,2,4,3.0559,7.5,75
锈蚀钢筋,2,5,2.8537,8.5,80
锈蚀钢筋,2,6,2.6709,9.5,75
锈蚀钢筋,2,7,2.5007,8.5,75
锈蚀钢筋,2,8,2.3471,9.0,70
锈蚀钢筋,2,9,2.1906,10.0,80
锈蚀钢筋,2,10,2.0399,9.0,85
锈蚀钢筋,2,11,1.8961,7.0,90
锈蚀钢筋,2,12,1.7663,8.0,85
锈蚀钢筋,2,13,1.6611,11.0,65
锈蚀钢筋,2,14,1.5541,10.5,75
锈蚀钢筋,2,15,1.4497,11.5,80
锈蚀钢筋,2,22,0.7136,8.0,70
锈蚀钢筋,2,30,0.343,10.0,85
锈蚀钢筋,2,37,0.2001,14.0,85
锈蚀钢筋,2,44,0.1093,11.0,70
锈蚀钢筋,2,51,0.0591,13.0,80
锈蚀钢筋,2,58,0.022,18.0,80
锈蚀钢筋,2,90,0.0007,20.0,80
锈蚀钢筋,3,0,5.4167,9.0,90
锈蚀钢筋,3,1,4.722,9.0,90
锈蚀钢筋,3,2,4.1419,7.5,85
锈蚀钢筋,3,3,3.6331,7.5,85
锈蚀钢筋,3,4,3.4028,7.5,75
锈蚀钢筋,3,5,3.1777,8.5,80
锈蚀钢筋,3,6,2.9741,9.5,75
锈蚀钢筋,3,7,2.7847,8.5,75
锈蚀钢筋,3,8,2.6136,9.0,70
锈蚀钢筋,3,9,2.4393,10.0,80
锈蚀钢筋,3,10,2.2715,9.0,85
锈蚀钢筋,3,11,2.1114,7.0,90
锈蚀钢筋,3,12,1.9669,8.0,85
锈蚀钢筋,3,13,1.8497,11.0,65
锈蚀钢筋,3,14,1.7306,10.5,75
锈蚀钢筋,3,15,1.6142,11.5,80
锈蚀钢筋,3,22,0.7946,8.0,70
锈蚀钢筋,3,30,0.3819,10.0,85
锈蚀钢筋,3,37,0.2229,14.0,85
锈蚀钢筋,3,44,0.1217,11.0,70
锈蚀钢筋,3,51,0.0658,13.0,80
锈蚀钢筋,3,58,0.0245,18.0,80
锈蚀钢筋,3,90,0.0008,20.0,80
锈蚀钢筋,4,0,5.2666,9.0,90
锈蚀钢筋,4,1,4.5911,9.0,90
锈蚀钢筋,4,2,4.0271,7.5,85
锈蚀钢筋,4,3,3.5324,7.5,85
锈蚀钢筋,4,4,3.3085,7.5,75
锈蚀钢筋,4,5,3.0896,8.5,80
锈蚀钢筋,4,6,2.8917,9.5,75
锈蚀钢筋,4,7,2.7075,8.5,75
锈蚀钢筋,4,8,2.5412,9.0,70
锈蚀钢筋,4,9,2.3717,10.0,80
锈蚀钢筋,4,10,2.2085,9.0,85
锈蚀钢筋,4,11,2.0528,7.0,90
锈蚀钢筋,4,12,1.9124,8.0,85
锈蚀钢筋,4,13,1.7984,11.0,65
锈蚀钢筋,4,14,1.6826,10.5,75
锈蚀钢筋,4,15,1.5695,11.5,80
锈蚀钢筋,4,22,0.7726,8.0,70
锈蚀钢筋,4,30,0.3713,10.0,85
锈蚀钢筋,4,37,0.2167,14.0,85
锈蚀钢筋,4,44,0.1183,11.0,70
锈蚀钢筋,4,51,0.064,13.0,80
锈蚀钢筋,4,58,0.0238,18.0,80
锈蚀钢筋,4,90,0.0007,20.0,80
锈蚀钢筋,5,0,4.2689,9.0,90
锈蚀钢筋,5,1,3.7214,9.0,90
锈蚀钢筋,5,2,3.2643,7.5,85
锈蚀钢筋,5,3,2.8632,7.5,85
锈蚀钢筋,5,4,2.6818,7.5,75
锈蚀钢筋,5,5,2.5043,8.5,80
锈蚀钢筋,5,6,2.3439,9.5,75
锈蚀钢筋,5,7,2.1946,8.5,75
锈蚀钢筋,5,8,2.0598,9.0,70
锈蚀钢筋,5,9,1.9224,10.0,80
锈蚀钢筋,5,10,1.7902,9.0,85
锈蚀钢筋,5,11,1.664,7.0,90
锈蚀钢筋,5,12,1.5501,8.0,85
锈蚀钢筋,5,13,1.4577,11.0,65
锈蚀钢筋,5,14,1.3639,10.5,75
